filepath,norm_emit_x,norm_emit_y,norm_emit_z,SOL10111:solenoid_field_scale,CQ10121:b1_gradient,SQ10122:b1_gradient,GUNF:rf_field_scale,GUNF:theta0_deg,distgen:total_charge
/sdf/scratch/users/t/tiffan/electrons_PMES_51/073ca1c32f9010df4afc6cade4d11557.h5,5.925325e-06,1.2080872e-05,3.1007112e-05,-0.2624101161118992,-0.007074884194442908,0.04981893688887401,51206251.10134836,-68.03812068966106,5.082847943898787e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/710d9b44e5ca9b96c84633ee13ee2535.h5,5.1696219e-06,5.5661625e-06,2.2366062e-05,-0.23774280208952395,0.02194052458948511,0.03371101140009301,50597374.536624745,-65.29978206403099,5.051857432964662e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/f8debd1ff1a15bc12bb57e5f15d9b565.h5,3.0840335e-06,4.4289276e-06,2.1706984e-05,-0.24108468830403074,-0.0013548269782353841,0.002264635573568603,49450176.804825015,-69.18773088378701,5.012575095125943e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/fe3acac5981425a59c18cd6493cadfe4.h5,7.9129195e-06,1.1843438e-05,2.1980535e-05,-0.20935896149041255,-0.13951831877380952,-0.13878271105184223,49551090.427099325,-64.35130856688126,5.057142587218047e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/2693b748f792c85e58da50ccc1adf734.h5,7.6088727e-06,7.58123e-06,2.9273092e-05,-0.24587660587984445,0.0344575444087383,-0.0019862259900797516,52901816.07806935,-65.40487601643953,5.049645307337733e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/a0db8095255f2acf4d1127935358aa14.h5,7.230718e-06,1.2146587e-05,2.2451176e-05,-0.2516593200691945,-0.025645053055501195,0.006812583673599281,51685037.27071435,-68.89854697237084,5.055737283682712e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/dd2d64906d8115f5f9353f78aa57ecdd.h5,7.1055477e-06,4.6055923e-06,2.8312079e-05,-0.24840383614978231,-0.08050784547576031,-0.0017290143759998017,53013616.9091757,-69.48053429571459,5.002535518509602e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/05057dfb3cf44720c6403aaa0b3de21f.h5,7.1553596e-06,7.9118529e-06,2.9473081e-05,-0.21943867813872353,-0.028096937443906164,-0.030106745916964203,48297973.24288815,-68.11965138521447,5.071404434686403e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/bd6e1e09a1dda3d475320cf160f43e27.h5,6.0005732e-06,5.3949079e-06,2.1709515e-05,-0.23844159263530082,0.03090820807754755,0.011336427578047724,50649499.84935182,-63.80276559649798,5.05794893899976e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/2d0ac4044ab2b632903a6627a8bae0b1.h5,6.8621563e-06,1.344834e-05,2.3402553e-05,-0.23061296070136963,-0.004445294127538451,-0.00922106209189601,48515522.947116226,-65.7041970076093,5.088200105479219e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/50b15e3e16d7306d68329f87ad217ad2.h5,4.1560204e-06,4.9817977e-06,2.4903872e-05,-0.24107707213686466,-0.01619832232261702,0.00273696026153635,49450176.804825015,-69.24441635225392,5.012575095125943e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/827517df2944056b5e72069ed87ad4e1.h5,8.2786472e-06,8.4443284e-06,2.7376849e-05,-0.2239495979215172,-0.016923677149356782,-0.0051480745082935165,50752585.00836052,-66.09928823019568,5.05205097298587e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/32bd36deb25dca3af2e4bc0c97a46c2d.h5,5.0326565e-06,2.2093932e-05,2.9907376e-05,-0.22657476582205172,0.036022199622726916,0.044759563076280075,48145831.35591108,-69.12178675875668,5.025584769153668e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/d5d98fcf688918763cd9845703710b66.h5,5.9996578e-06,5.7401524e-06,2.1171803e-05,-0.2021681216556047,0.0005142202198894722,0.00020129464541475406,48860540.04891614,-68.40819170516538,5.073140951651832e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/89b8b72f95b28626cc2ffdeaffd4890c.h5,4.7344598e-06,1.0928806e-05,1.688299e-05,-0.226603443688209,0.03484663175852193,0.008847705320956616,50597652.81024903,-69.13779841072933,5.012775236419875e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/8f9b3113b0775ec06c46ad5c2459859c.h5,2.7616194e-06,3.3965837e-06,1.4316176e-05,-0.2370582752479517,0.004599867867168779,0.0027936143359748268,51879972.62693795,-66.66017861169321,5.019973448327765e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/e195bf2b1ca1a9131e13a953d06efd1c.h5,4.6219074e-06,4.9860149e-06,3.1202761e-05,-0.23767495486795093,-0.0011242728846215244,-0.0032964452123891673,48390008.278846614,-68.77161143192771,5.088078983452191e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/300c7dc44b2061b7e20a3fc87b917821.h5,6.7246808e-06,7.4490693e-06,2.4523444e-05,-0.22744751857458897,0.00402028705131849,-0.015222687818927775,52756391.95120822,-64.89444894244194,5.010376001914023e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/673c959f13b3c5bfb56dc497aff5a3da.h5,6.2227899e-06,9.2174966e-06,2.5871573e-05,-0.2072058884363034,-0.08313263646279752,-0.06746665906927829,52695210.056448594,-69.54114447716934,5.083949481174154e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/ae57cef25c2a5f4fcf1f885cf9ed8f2b.h5,6.0246964e-06,5.7561562e-06,2.1451947e-05,-0.2021681216556047,0.0005142202198894722,0.00020129464541475406,48814417.32891763,-68.40819170516538,5.073140951651832e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/919015c13e9a30311fc20c28dff5b97b.h5,3.934078e-06,5.2401336e-06,2.157467e-05,-0.2267289610591508,0.03601641949036851,0.03900746950553523,48035020.3712444,-69.11630979375786,5.085627163293005e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/09224e58e5f128055c98ed201476e703.h5,5.1770891e-06,6.0528166e-06,2.4924702e-05,-0.21908625476587884,-0.04524448741179621,-0.0373088187497444,49044602.41185293,-69.90427784857422,5.048952052961594e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/21b62b6bd4057dfc9390c8f9da1496c2.h5,8.0058587e-06,2.7411407e-05,2.3491633e-05,-0.2170432392804151,0.02141569289784907,0.057921020989667574,51873037.87818412,-68.55751620210903,5.055666749262492e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/ec56e131e8e0e0c8dd93a9a8bf667916.h5,5.8927416e-06,1.8621264e-05,3.3213608e-05,-0.2666036612906347,0.023650818336340557,0.08195185131065971,51931841.16391168,-68.90294096481297,5.082847943898787e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/86a3f964954a2e68e8c17585408f8cd2.h5,8.0655373e-06,8.868715e-06,2.8985411e-05,-0.21418034937309444,-0.028096937443906164,-0.005041685206676643,48559620.6320894,-68.11965138521447,5.071404434686403e-10
/sdf/scratch/users/t/tiffan/electrons_PMES_51/a21e7a277460ee27dc7e790982de4e6b.h5,5.2494481e-06,6.4965443e-06,2.3713457e-05,-0.20658840106135015,-0.04532525369962389,-0.0373088187497444,49044602.41185293,-69.90427784857422,5.048952052961594e-10
