filepath,distgen_total_charge
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/aac8eddfb4286fb2718fbc064d2c80df.h5,5.017743581309436e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/34e99f1f3d46323f3ac4384670c58c22.h5,5.0511424419664e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/f6eed3da3305f20a2c8a22e572e0d3b8.h5,5.01533177511941e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/cffa12140bc81c8279cb145a3689038e.h5,5.075793117175173e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/acdd616f1d617ded0400c9b3a1b2a4bc.h5,5.084866865750005e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/d1f1ec6f6fba84e00bcc2df9a9af0ea5.h5,5.093332425011523e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/8466f00f2c43b633a7efd30503dab3ad.h5,5.007412910147633e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/fb3b841fb4e524c8cf95bc79d8a42488.h5,5.038514474549327e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/c8f3e001d9be2ff59f37071dc8d8f3b6.h5,5.040684031624733e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/872de8ec5cb7dfb13cc8536b0c7978a9.h5,5.080471139821066e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/28030f58a60730ce22ec8459ed8c8702.h5,5.001983197428897e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/4aa4677424db74ac34e4d892ca5ff737.h5,5.042655089443823e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9c74dbce2a420ef6981d0def2867f7af.h5,5.095878439768953e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/19296f7f578dc7cd1b528bb30c7f73e5.h5,5.071040577120483e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/99a8bc66e77f43dde52d73522cc0db2c.h5,5.029152599326555e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/d241d7fad66bcbceb42c6e0f5c945440.h5,5.045414117820896e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/1f9cc4a348fa7cc9d38e2834f2ea5578.h5,5.075751809492022e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/755d48d6e212392ed50af0152e749943.h5,5.019497722719713e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/d1970cd4a1fe79091f02b3242364137e.h5,5.060107453490914e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/a47d95602eb88d729dc600c9472bffe5.h5,5.001983197428897e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/398e64f58218a22a6f89c1b4670afaa4.h5,5.010673056625561e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/4078055fae63241a0f57811d1d4e93f2.h5,5.012771894636734e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/b8c2686a35769dca9b92a264999d59c8.h5,5.079504522020175e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/1fe4e4a052dd11be73789172ea41a5d7.h5,5.012713255909973e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/44d9b67b987b0b525840b2ab8a267ace.h5,5.072023195639704e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/2b4faff4907c164b394b6a8f3345a72b.h5,5.02096879802938e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/33db65b04c7e080a52e2a1172128b868.h5,5.066038267996308e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/80f6e56c7ff903d535f97b90082d02e4.h5,5.005128764009313e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/9ec6e74e7d5d1593060f95ea96781b61.h5,5.07991112576587e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/e11dcc655631a87320e0a51f6c3ac077.h5,5.083457481063651e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/90faed7871f1549aed675ac60ef50f88.h5,5.012575095125942e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/51076792bc9c03ff184aff5bce6cb6a7.h5,5.07675406147506e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/1f05699abaa7060613ee70476ccf8634.h5,5.049645307337732e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/e7bf7d6e5b8a0859d39832479d967c52.h5,5.071086830268483e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/1417431c7ed132c51a2d6fed2fc51501.h5,5.095316786307772e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/5b9a15f790c7922573f89cc6f57f9278.h5,5.075251006604822e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/65d462e95af21bc99d41312489e4ca76.h5,5.091570637194e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/1a817879a699c6b7e0edf6e95016917c.h5,5.08393702577493e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/0ec4d0cd77fa6499f6b1f30d83c56dd7.h5,5.082847943898787e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/5477e381aa39dfdd7f1b139656b55906.h5,5.071404434686402e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/a59ff0dda4397ab0dc405a67a3f0ede3.h5,5.071404434686402e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/08dda1f9f9e08a47e06ef881e92d14ca.h5,5.079310296313401e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/7fb2a41077c96e8338c4a1772811d087.h5,5.007792027042326e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/ebad0207ca900e0046dd61053fb064f9.h5,5.020570713526612e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/c995a287798d607a2c791f5f48d2b83e.h5,5.013319468621678e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/dc05e784d211305f90a325ff3ee6a99a.h5,5.046043344497238e-10
/sdf/data/ad/ard-online/Simulations/FACET-II_Injector_Gaussian/Archive/43d3bfc7ff3d86cf6321bbd7d16ab22e.h5,5.001170140208048e-10
