filename,norm_emit_x,norm_emit_y,norm_emit_z,SOL10111:solenoid_field_scale,CQ10121:b1_gradient,SQ10122:b1_gradient,GUNF:rf_field_scale,GUNF:theta0_deg,distgen:total_charge
/sdf/data/ad/ard/u/tiffan/Archive_5/24e7eacb27b6b56233c7332c44a132eb.h5,4.9098038e-06,5.6665127e-06,1.211493e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/addc698a2e312443868b40be5fb86692.h5,4.9081384e-06,5.6623219e-06,1.2117293e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/423d8f3afb57c4cf9732161bb62897f2.h5,8.1633625e-06,7.3795296e-06,1.3429534e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/416305d3f6c25a2b95c0777dac40864c.h5,6.69682e-06,8.064434e-06,1.981823e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/607ae3023c2c0f840fb7a99d23975d99.h5,4.9360237e-06,5.6887149e-06,1.2048339e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/b302196d78422b5f5a362aa2ab603db9.h5,4.9751824e-06,5.7049527e-06,1.1970801e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/1eddac5703160958430874efbc34a13e.h5,5.0489137e-06,5.9113968e-06,1.228779e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/7860f5c75336b79c0cc318fb6c82e4dc.h5,4.9075991e-06,5.6601359e-06,1.2120071e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/7fdd2d01b657e9210fff40bcd3616015.h5,4.9357348e-06,5.7025564e-06,1.2048347e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/9f7aa8a290832d1cfd8022170c5db46e.h5,5.7449796e-06,6.5718573e-06,1.2178489e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/258b13fceef0bf0df5e0b1611b636397.h5,5.0947509e-06,5.9023507e-06,1.1876566e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/24ad599f206afc65912c33efae7d758f.h5,5.1332259e-06,6.1544142e-06,1.0662901e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/cd5adc9cc8ff5e59ce3eb563a8f546ab.h5,4.9064309e-06,5.6594997e-06,1.2124325e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/bb3f30dce7edd9974fa42794d06da510.h5,6.5015516e-06,6.8986188e-06,1.2043614e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/5254bfe9491bab80944bc32913ed2067.h5,5.2954745e-06,6.262769e-06,1.1410581e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
/sdf/data/ad/ard/u/tiffan/Archive_5/16a3705fea55e6f8b171093a755b3fe5.h5,4.9063716e-06,5.6596215e-06,1.2124538e-05,-0.25,0,0,49002593.0539,-60.7,5e-10
